U_Date,U_FWeekNum,U_FWeek,U_Fperiod,U_FPname,U_FPStart,U_FPEnd,U_Fyear,U_FYStart,U_FYEnd
18/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
19/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
20/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
21/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
22/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
23/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
24/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
16/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
25/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
26/11/2016,48,20/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
27/11/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
28/11/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
29/11/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
30/11/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
01/12/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
02/12/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
03/12/2016,49,27/11/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
04/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
17/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
05/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
06/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
07/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
08/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
09/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
10/12/2016,50,04/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
11/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
12/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
13/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
14/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
18/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
15/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
16/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
17/12/2016,51,11/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
18/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
19/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
20/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
21/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
22/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
23/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
24/12/2016,52,18/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
19/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
25/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
26/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
27/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
28/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
29/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
30/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
31/12/2016,53,25/12/2016,12,December,27/11/2016,31/12/2016,2016,01/01/2016,31/12/2016
01/01/2015,1,01/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
02/01/2015,1,01/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
03/01/2015,1,01/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
11/01/2017,2,08/01/2017,1,January,01/01/2017,28/01/2017,2017,01/01/2017,31/12/2017
20/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
04/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
05/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
06/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
07/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
08/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
09/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
10/01/2015,2,04/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
11/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
12/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
13/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
21/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
14/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
15/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
16/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
17/01/2015,3,11/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
